color_code,unique_id,black_box,red_circle,green_triangle,blue_pentagon
2011_4,gaussian_blur_23,"(114, 43, 24)","(171, 48, 41)","(25, 78, 43)","(11, 30, 90)"
2003_6B,brightness_55,"(133, 87, 48)","(84, 0, 0)","(0, 20, 0)","(0, 0, 34)"
1007_5C,gaussian_blur_5,"(172, 111, 105)","(162, 17, 29)","(7, 88, 40)","(22, 35, 80)"
7001_19,hue_29,"(163, 171, 136)","(132, 88, 23)","(9, 38, 58)","(23, 4, 60)"
8002_2c,shadow_36,"(92, 85, 94)","(82, 54, 59)","(55, 69, 66)","(61, 65, 84)"
1008_6C,shadow_9,"(107, 104, 113)","(99, 67, 82)","(55, 85, 81)","(47, 63, 113)"
1003_3C,gaussian_blur_5,"(182, 126, 150)","(174, 23, 33)","(5, 94, 44)","(23, 39, 83)"
8002_9B,shadow_36,"(64, 54, 52)","(48, 16, 19)","(46, 61, 55)","(6, 11, 30)"
1008_5C,rotate_17,"(161, 93, 82)","(171, 20, 30)","(10, 94, 47)","(19, 34, 77)"
8002_2B,shadow_36,"(85, 75, 79)","(55, 16, 23)","(13, 34, 29)","(24, 33, 62)"
7002_10,gamma_21,"(209, 204, 178)","(159, 51, 48)","(26, 80, 49)","(12, 37, 95)"
2001_6C,shadow_45,"(99, 88, 89)","(37, 9, 16)","(7, 17, 16)","(11, 15, 35)"
2002_7c,brightness_1,"(154, 105, 103)","(162, 98, 100)","(61, 88, 83)","(53, 66, 104)"
2003_6B,gamma_12,"(227, 177, 125)","(217, 77, 68)","(69, 132, 98)","(56, 77, 144)"
2003_6B,clahe_42,"(199, 153, 138)","(124, 21, 32)","(33, 80, 52)","(4, 22, 90)"
2003_6B,motion_blur_22,"(189, 142, 100)","(134, 27, 25)","(16, 64, 40)","(8, 24, 80)"
2002_6B,gaussian_blur_50,"(169, 118, 95)","(133, 24, 24)","(16, 74, 40)","(7, 34, 99)"
1006_6B,rotate_35,"(197, 175, 187)","(193, 74, 100)","(65, 126, 110)","(61, 84, 151)"
8002_12C,gaussian_blur_68,"(175, 127, 95)","(132, 18, 21)","(10, 64, 34)","(1, 21, 85)"
7003_10,shadow_9,"(110, 107, 101)","(67, 27, 29)","(51, 68, 60)","(50, 56, 80)"
1001_4B,hue_20,"(183, 145, 149)","(157, 116, 17)","(18, 82, 83)","(44, 4, 96)"
4005_7A,noise_25,"(200, 205, 199)","(171, 45, 40)","(25, 91, 47)","(7, 32, 106)"
2002_4B,brightness_10,"(243, 190, 158)","(227, 73, 63)","(66, 131, 95)","(47, 67, 135)"
1002_4B,hue_38,"(195, 195, 195)","(109, 55, 47)","(25, 42, 51)","(59, 47, 111)"
1006_6C,gamma_12,"(217, 206, 207)","(187, 80, 103)","(71, 125, 110)","(62, 81, 137)"
1006_6a,noise_16,"(178, 151, 161)","(185, 121, 124)","(125, 149, 136)","(110, 118, 156)"
1008_6a,noise_7,"(178, 143, 145)","(185, 123, 124)","(81, 120, 111)","(75, 88, 144)"
1008_6a,brightness_28,"(141, 100, 100)","(163, 87, 84)","(45, 74, 63)","(34, 45, 85)"
P490_brightness,1,"(55, 122, 189)","(233, 69, 62)","(70, 129, 89)","(52, 76, 141)"
8002_9B,gamma_21,"(185, 156, 142)","(113, 17, 18)","(9, 52, 32)","(2, 16, 68)"
1001_4A,motion_blur_4,"(165, 138, 153)","(171, 20, 30)","(8, 90, 42)","(22, 37, 83)"
8002_12B,clahe_60,"(216, 182, 145)","(143, 28, 29)","(19, 75, 40)","(13, 34, 92)"
2002_6C,shadow_36,"(110, 95, 90)","(89, 48, 52)","(41, 59, 52)","(34, 41, 65)"
8002_7c,brightness_37,"(180, 142, 141)","(188, 126, 126)","(95, 120, 108)","(85, 93, 128)"
8002_12B,noise_70,"(205, 171, 146)","(154, 19, 22)","(23, 93, 55)","(1, 26, 110)"
2002_3c,brightness_10,"(187, 138, 136)","(195, 131, 133)","(94, 120, 116)","(86, 100, 137)"
1002_4B,brightness_37,"(248, 237, 248)","(158, 69, 97)","(52, 95, 92)","(69, 91, 159)"
1006_6a,shadow_18,"(79, 68, 72)","(97, 70, 71)","(72, 81, 76)","(67, 70, 84)"
6004_1A,gamma_30,"(174, 166, 147)","(126, 23, 26)","(9, 51, 39)","(4, 18, 55)"
2003_6B,gaussian_blur_32,"(180, 135, 111)","(143, 45, 57)","(34, 76, 60)","(12, 28, 78)"
1006_6C,motion_blur_4,"(221, 218, 225)","(209, 115, 141)","(65, 128, 137)","(39, 72, 176)"
2001_5c,gamma_21,"(175, 116, 111)","(141, 62, 70)","(68, 100, 93)","(89, 98, 145)"
8002_9c,hue_29,"(205, 143, 158)","(216, 107, 151)","(45, 107, 127)",
7002_10,gaussian_blur_5,"(211, 209, 197)","(164, 62, 65)","(54, 99, 79)","(51, 70, 131)"
2002_4B,hue_11,"(220, 204, 143)","(205, 128, 52)","(51, 111, 103)","(50, 35, 115)"
7001_19,gaussian_blur_23,"(193, 184, 168)","(151, 40, 36)","(24, 70, 40)","(10, 28, 78)"
8002_1A,motion_blur_22,"(221, 219, 225)","(191, 79, 103)","(56, 123, 107)","(51, 76, 146)"
7002_17,clahe_33,"(201, 180, 151)","(140, 33, 45)","(30, 70, 58)","(24, 33, 70)"
8002_9c,gamma_21,"(240, 172, 152)","(234, 92, 86)","(84, 144, 106)","(67, 88, 158)"
8002_9A,brightness_37,"(254, 254, 254)","(249, 178, 203)","(147, 197, 180)","(73, 90, 149)"
2001_6B,hue_47,"(181, 123, 135)","(121, 19, 64)","(12, 64, 13)","(3, 62, 88)"
4005_7A,gamma_30,"(157, 153, 141)","(111, 15, 17)","(4, 38, 27)","(2, 12, 42)"
7002_10,rotate_8,"(211, 209, 197)","(163, 61, 66)","(57, 100, 81)","(51, 70, 131)"
8002_10A,motion_blur_31,"(190, 169, 160)","(134, 39, 45)","(26, 55, 39)","(24, 24, 52)"
6004_1A,gaussian_blur_41,"(175, 172, 159)","(148, 45, 41)","(11, 60, 34)","(1, 8, 57)"
4005_7A,shadow_9,"(111, 111, 111)","(94, 53, 51)","(52, 67, 55)","(18, 25, 44)"
2001_6C,gamma_21,"(225, 200, 198)","(194, 88, 111)","(71, 126, 110)","(60, 80, 137)"
8002_10A,brightness_28,"(244, 222, 212)","(184, 80, 85)","(62, 95, 78)","(62, 63, 94)"
1008_4B,shadow_27,"(92, 76, 73)","(50, 15, 16)","(49, 57, 50)","(9, 9, 17)"
1004_4C,shadow_9,"(133, 130, 145)","(132, 99, 122)","(42, 84, 81)","(25, 48, 122)"
8002_9B,gamma_3,"(170, 165, 186)","(168, 34, 48)","(16, 107, 76)","(2, 39, 150)"
2002_3c,rotate_26,"(175, 124, 123)","(152, 76, 80)","(62, 94, 88)","(66, 78, 125)"
8002_9B,gaussian_blur_23,"(193, 166, 153)","(125, 25, 25)","(13, 64, 42)","(4, 23, 80)"
2002_6C,rotate_71,"(194, 158, 139)","(127, 19, 22)","(34, 80, 56)","(1, 20, 84)"
P370_noise,7,"(151, 187, 117)","(192, 29, 21)","(19, 116, 55)","(9, 40, 140)"
2002_6B,gamma_12,"(219, 159, 116)","(221, 70, 56)","(65, 128, 92)","(41, 61, 125)"
2003_6C,rotate_17,"(223, 192, 148)","(208, 58, 45)","(43, 109, 73)","(30, 51, 115)"
7001_21,shadow_9,"(84, 85, 80)","(94, 54, 52)","(50, 68, 56)","(49, 55, 77)"
2002_6B,brightness_19,"(115, 67, 41)","(75, 0, 0)","(2, 16, 2)","(0, 0, 26)"
7001_19,shadow_18,"(67, 63, 59)","(47, 8, 7)","(6, 25, 13)","(1, 8, 31)"
1004_4C,gaussian_blur_41,"(176, 156, 151)","(131, 39, 42)","(32, 57, 43)","(26, 26, 49)"
8002_10A,gamma_12,"(224, 220, 242)","(189, 70, 116)","(41, 138, 125)","(27, 70, 231)"
2003_6C,noise_7,"(181, 184, 196)","(189, 47, 65)","(17, 138, 105)","(4, 54, 181)"
1008_6a,gamma_21,"(163, 130, 131)","(181, 119, 119)","(76, 103, 93)","(64, 73, 111)"
8002_9c,rotate_35,"(211, 156, 135)","(223, 108, 98)","(43, 125, 87)","(39, 65, 134)"
2002_6a,gaussian_blur_41,"(132, 92, 88)","(149, 74, 81)","(56, 84, 79)","(68, 77, 116)"
8002_10A,shadow_18,"(115, 114, 120)","(104, 63, 79)","(51, 87, 83)","(46, 63, 118)"
1008_4B,clahe_42,"(200, 158, 170)","(118, 41, 67)","(17, 51, 46)","(48, 64, 127)"
2003_6C,clahe_42,"(200, 180, 180)","(120, 22, 33)","(27, 77, 51)","(3, 22, 92)"
1008_3C,gaussian_blur_5,"(182, 90, 89)","(164, 13, 26)","(4, 85, 38)","(20, 33, 78)"
2002_6C,shadow_54,"(105, 88, 80)","(56, 9, 10)","(6, 31, 17)","(2, 13, 41)"
1011_brightness,1,"(151, 46, 45)","(201, 60, 57)","(60, 111, 79)","(42, 62, 120)"
1006_6C,gaussian_blur_23,"(163, 146, 138)","(113, 29, 34)","(18, 41, 28)","(18, 19, 39)"
2002_6B,brightness_55,"(220, 159, 128)","(173, 41, 39)","(32, 95, 54)","(28, 50, 115)"
1008_4a,hue_20,"(169, 151, 135)","(102, 78, 58)","(74, 92, 93)","(86, 73, 114)"
2003_6B,gamma_57,"(194, 141, 99)","(137, 22, 21)","(14, 67, 31)","(12, 29, 83)"
1008_6C,hue_11,"(222, 167, 160)","(205, 54, 84)","(42, 97, 76)","(29, 43, 96)"
8002_9B,motion_blur_4,"(182, 177, 196)","(180, 47, 62)","(25, 123, 92)","(4, 53, 163)"
8002_12C,noise_34,"(182, 144, 125)","(176, 53, 65)","(56, 120, 96)","(19, 46, 128)"
8002_9A,brightness_10,"(209, 195, 195)","(181, 56, 86)","(35, 99, 83)","(37, 60, 136)"
2002_6a,motion_blur_40,"(132, 92, 88)","(149, 74, 81)","(56, 84, 79)","(68, 77, 115)"
1006_6C,noise_16,"(222, 213, 214)","(196, 103, 123)","(84, 151, 132)","(76, 98, 165)"
8002_12C,shadow_45,"(94, 76, 69)","(81, 36, 40)","(37, 58, 47)","(30, 37, 66)"
1006_6B,shadow_18,"(113, 103, 102)","(112, 67, 74)","(56, 77, 72)","(16, 21, 41)"
2001_6B,shadow_54,"(111, 92, 86)","(84, 37, 38)","(33, 58, 44)","(2, 13, 42)"
8002_9c,gaussian_blur_41,"(241, 184, 161)","(232, 95, 88)","(94, 156, 119)","(119, 136, 187)"
1008_6C,noise_7,"(231, 222, 247)","(210, 128, 166)","(84, 182, 169)","(77, 117, 241)"
2002_4B,rotate_44,"(175, 137, 150)","(127, 20, 31)","(15, 69, 39)","(2, 20, 94)"
8002_9A,shadow_18,,"(61, 21, 30)","(61, 75, 73)","(15, 22, 46)"
2002_6C,rotate_62,"(203, 163, 137)","(139, 25, 24)","(17, 70, 35)","(9, 29, 85)"
2001_6B,hue_29,"(171, 139, 142)","(122, 48, 70)","(24, 54, 37)","(16, 40, 68)"
1004_3C,clahe_6,"(196, 132, 144)","(185, 25, 41)","(22, 104, 55)","(31, 45, 92)"
8002_2c,clahe_24,"(175, 149, 176)","(138, 62, 72)","(100, 116, 116)","(96, 98, 135)"
1008_4a,hue_38,"(184, 144, 149)","(201, 136, 134)","(111, 131, 119)","(69, 73, 103)"
8002_9A,motion_blur_40,"(230, 214, 211)","(221, 137, 159)","(110, 153, 139)","(47, 61, 112)"
2002_6C,gaussian_blur_59,"(203, 163, 137)","(139, 25, 24)","(18, 71, 35)","(9, 28, 84)"
8002_1A,clahe_15,"(166, 163, 171)","(166, 71, 91)","(19, 60, 53)","(23, 27, 63)"
8002_7c,gaussian_blur_14,"(188, 152, 147)","(156, 83, 93)","(73, 107, 101)","(77, 95, 139)"
1004_4b,brightness_19,"(133, 113, 128)","(132, 50, 56)","(44, 76, 66)","(59, 71, 109)"
2002_4B,rotate_53,"(196, 152, 138)","(129, 22, 22)","(16, 70, 37)","(3, 29, 92)"
1008_6C,shadow_18,"(85, 72, 69)","(106, 56, 62)","(18, 36, 30)","(14, 17, 36)"
8002_2c,brightness_1,"(145, 125, 146)","(128, 56, 68)","(39, 72, 70)","(49, 61, 104)"
2003_6B,clahe_60,"(218, 166, 123)","(141, 23, 21)","(25, 81, 45)","(23, 43, 100)"
2002_6B,noise_7,"(193, 163, 173)","(201, 52, 71)","(19, 154, 119)","(5, 60, 200)"
2002_4B,gamma_3,"(189, 176, 205)","(186, 55, 72)","(20, 129, 104)","(5, 59, 172)"
1006_6a,noise_7,"(197, 169, 181)","(192, 117, 123)","(115, 151, 139)","(132, 139, 174)"
2002_6B,shadow_9,"(100, 84, 90)","(113, 48, 56)","(9, 62, 48)","(1, 24, 81)"
1008_4B,gaussian_blur_14,"(212, 160, 173)","(213, 95, 117)","(39, 89, 72)","(27, 33, 72)"
8002_9c,shadow_27,"(127, 103, 96)","(125, 73, 71)","(70, 93, 79)","(64, 72, 99)"
8002_12C,noise_7,"(218, 168, 127)","(209, 56, 49)","(57, 136, 71)","(33, 61, 141)"
8002_9B,brightness_19,"(245, 216, 202)","(172, 63, 64)","(50, 105, 82)","(41, 61, 122)"
1008_6C,hue_38,"(227, 218, 210)","(150, 53, 58)","(50, 103, 96)","(73, 77, 165)"
8002_1A,hue_11,"(188, 182, 193)","(197, 90, 107)","(21, 71, 67)","(17, 21, 67)"
1008_6a,motion_blur_13,"(153, 117, 120)","(171, 104, 103)","(61, 88, 80)","(51, 60, 99)"
2003_6B,gaussian_blur_23,"(189, 142, 100)","(134, 27, 25)","(18, 66, 41)","(8, 24, 80)"
2003_6B,motion_blur_40,"(165, 120, 104)","(121, 18, 26)","(24, 70, 44)","(2, 21, 89)"
8002_10A,hue_2,"(187, 184, 184)","(188, 120, 135)","(34, 60, 55)","(17, 20, 42)"
1006_6C,hue_20,"(164, 154, 122)","(115, 53, 17)","(14, 43, 40)","(23, 14, 41)"
7001_21,shadow_27,"(106, 105, 101)","(84, 46, 44)","(38, 54, 44)","(33, 40, 59)"
1004_4C,rotate_17,"(223, 207, 215)","(191, 90, 112)","(88, 140, 124)","(62, 83, 147)"
1008_4B,hue_38,"(218, 186, 201)","(117, 41, 78)","(33, 70, 57)","(58, 87, 136)"
8002_2B,noise_25,"(225, 207, 219)","(202, 117, 134)","(90, 154, 133)","(67, 93, 161)"
8002_7c,brightness_28,"(133, 99, 98)","(137, 78, 78)","(46, 69, 61)","(38, 48, 78)"
2003_6B,brightness_19,"(170, 121, 78)","(113, 3, 1)","(2, 41, 15)","(0, 0, 56)"
8002_9B,gaussian_blur_32,"(182, 154, 149)","(138, 46, 54)","(40, 81, 66)","(18, 36, 86)"
2002_6B,shadow_45,"(93, 73, 74)","(51, 6, 11)","(8, 30, 19)","(1, 7, 37)"
8002_2c,noise_7,"(186, 168, 187)","(175, 101, 113)","(82, 125, 122)","(88, 102, 158)"
2002_6C,clahe_24,"(193, 162, 143)","(134, 30, 32)","(17, 69, 48)","(14, 32, 90)"
1008_6a,motion_blur_31,"(147, 109, 109)","(166, 97, 95)","(62, 88, 77)","(50, 60, 96)"
1006_6B,gamma_21,"(166, 144, 158)","(91, 20, 41)","(7, 31, 28)","(5, 9, 35)"
1002_4B,clahe_24,"(166, 152, 148)","(162, 61, 69)","(34, 65, 48)","(43, 44, 74)"
8002_12C,brightness_19,"(136, 95, 60)","(97, 4, 2)","(2, 35, 13)","(0, 0, 48)"
8007_3E,gaussian_blur_23,"(191, 194, 187)","(151, 41, 34)","(25, 66, 36)","(13, 27, 73)"
2011_4,hue_29,"(149, 60, 79)","(182, 58, 120)","(35, 88, 47)","(33, 76, 94)"
8002_12B,noise_61,"(212, 181, 150)","(169, 31, 29)","(21, 106, 54)","(10, 41, 125)"
2002_6a,noise_25,"(146, 97, 90)","(175, 83, 90)","(73, 110, 103)","(75, 85, 137)"
8002_10A,gamma_39,"(209, 188, 184)","(156, 44, 69)","(31, 83, 69)","(29, 47, 109)"
1004_4b,shadow_45,"(71, 62, 71)","(70, 34, 39)","(56, 73, 70)","(52, 57, 81)"
7003_10,gaussian_blur_14,"(198, 189, 158)","(133, 28, 24)","(22, 73, 41)","(8, 29, 90)"
8002_9A,clahe_15,"(213, 199, 200)","(196, 71, 101)","(41, 105, 89)","(54, 78, 158)"
P350_hue,2,"(181, 175, 137)","(154, 41, 57)","(30, 64, 34)","(22, 43, 74)"
P440_shadow,9,,"(55, 9, 9)","(11, 26, 15)","(4, 10, 26)"
2002_6C,hue_20,"(175, 171, 117)","(116, 70, 19)","(10, 46, 51)","(25, 4, 69)"
8002_12B,hue_2,"(199, 199, 199)","(183, 65, 61)","(32, 124, 106)","(19, 41, 164)"
1001_4B,shadow_36,"(101, 91, 91)","(87, 38, 40)","(29, 52, 46)","(29, 36, 54)"
2011_4,clahe_6,"(187, 102, 84)","(183, 58, 43)","(54, 102, 62)","(51, 67, 123)"
2002_7c,hue_2,"(186, 158, 133)","(193, 155, 128)","(90, 112, 119)","(92, 82, 135)"
2011_4,motion_blur_40,"(99, 38, 20)","(164, 50, 49)","(24, 73, 46)","(6, 17, 67)"
2003_6C,rotate_71,"(205, 178, 159)","(126, 21, 25)","(20, 69, 43)","(2, 23, 84)"
8002_9B,hue_65,"(193, 174, 132)","(128, 61, 13)","(8, 65, 57)","(13, 0, 88)"
8007_3E,noise_43,"(172, 170, 158)","(153, 56, 47)","(35, 76, 45)","(11, 24, 78)"
2001_6B,shadow_9,"(74, 67, 71)","(89, 47, 51)","(21, 51, 39)","(1, 14, 47)"
6004_1A,gamma_3,"(211, 212, 205)","(168, 62, 59)","(53, 97, 68)","(49, 65, 120)"
7002_17,brightness_28,"(137, 116, 85)","(74, 0, 0)","(1, 1, 1)","(0, 0, 1)"
8002_12B,brightness_1,"(153, 145, 146)","(140, 31, 42)","(13, 90, 65)","(1, 35, 124)"
2002_6a,rotate_8,"(196, 141, 130)","(191, 99, 106)","(95, 132, 122)","(110, 121, 168)"
2002_4B,hue_47,"(201, 147, 155)","(135, 26, 69)","(18, 76, 19)","(6, 68, 99)"
8002_12C,motion_blur_58,"(184, 132, 92)","(145, 25, 23)","(17, 77, 41)","(6, 30, 94)"
1007_5C,rotate_8,"(172, 110, 105)","(162, 17, 28)","(9, 90, 42)","(21, 35, 80)"
8002_9B,motion_blur_31,"(182, 154, 149)","(138, 46, 53)","(39, 81, 65)","(18, 36, 86)"
1008_4a,gaussian_blur_32,"(181, 136, 137)","(112, 63, 70)","(89, 115, 102)","(70, 82, 118)"
2001_6B,noise_43,"(176, 141, 148)","(138, 21, 36)","(26, 87, 54)","(4, 26, 111)"
4005_7A,brightness_1,"(255, 255, 255)","(217, 90, 84)","(84, 132, 96)","(78, 96, 156)"
2003_6B,shadow_18,"(115, 93, 70)","(100, 41, 39)","(50, 75, 61)","(46, 53, 79)"
2003_6B,hue_20,"(208, 123, 97)","(153, 18, 45)","(14, 83, 32)","(3, 45, 98)"
8002_12B,motion_blur_22,"(199, 168, 140)","(129, 29, 30)","(18, 66, 46)","(9, 26, 82)"
1001_4B,gamma_30,"(149, 129, 130)","(123, 20, 24)","(6, 48, 36)","(3, 17, 52)"
8002_12C,hue_2,"(231, 131, 140)","(215, 49, 131)","(33, 118, 140)",
2003_6C,gamma_21,"(192, 173, 156)","(124, 28, 29)","(14, 64, 45)","(5, 24, 82)"
2001_4B,hue_29,"(180, 130, 155)","(130, 30, 84)","(8, 59, 80)","(8, 59, 79)"
1001_4B,noise_16,"(172, 156, 177)","(149, 30, 26)","(19, 86, 44)","(6, 31, 110)"
8002_10A,noise_25,"(229, 211, 209)","(200, 108, 130)","(114, 162, 147)","(106, 123, 176)"
P340_motion,blur_4,"(189, 192, 113)","(161, 29, 25)","(29, 75, 43)","(14, 31, 80)"
1006_6C,hue_38,"(168, 152, 160)","(197, 76, 122)","(29, 79, 67)","(26, 53, 102)"
2002_6a,noise_16,"(171, 121, 120)","(172, 94, 106)","(86, 116, 114)","(93, 99, 150)"
2003_6B,brightness_10,"(206, 153, 100)","(195, 57, 50)","(51, 108, 77)","(41, 58, 119)"
8002_9c,motion_blur_49,"(179, 140, 140)","(136, 66, 76)","(65, 92, 95)","(64, 75, 117)"
2002_6a,brightness_28,"(124, 75, 71)","(143, 52, 66)","(26, 57, 59)","(32, 45, 96)"
8002_7c,motion_blur_13,"(188, 152, 147)","(156, 83, 93)","(74, 107, 101)","(77, 95, 139)"
1001_4A,shadow_9,"(73, 61, 68)","(106, 36, 41)","(2, 41, 17)","(10, 16, 38)"
8002_2c,gaussian_blur_41,"(145, 129, 153)","(162, 84, 97)","(62, 95, 96)","(64, 77, 123)"
8002_2B,noise_34,"(195, 175, 185)","(171, 52, 70)","(52, 123, 106)","(76, 102, 184)"
2002_6B,rotate_44,"(153, 106, 106)","(121, 16, 27)","(19, 70, 44)","(2, 18, 91)"
8007-6G_gaussian,blur_5,"(208, 207, 201)","(160, 26, 20)","(27, 77, 43)","(7, 27, 82)"
8002_9A,shadow_9,"(79, 73, 75)","(127, 76, 91)","(65, 86, 83)","(29, 36, 62)"
2003_6C,brightness_19,"(164, 145, 128)","(92, 0, 0)","(3, 29, 10)","(0, 0, 46)"
2003_6B,gamma_39,"(154, 108, 91)","(108, 12, 19)","(15, 56, 32)","(0, 14, 75)"
1004_4b,shadow_9,"(117, 106, 114)","(78, 42, 44)","(40, 55, 51)","(46, 50, 67)"
1002_4B,clahe_42,"(181, 169, 180)","(125, 41, 68)","(13, 55, 52)","(19, 38, 98)"
2002_4B,clahe_51,"(196, 152, 139)","(133, 25, 29)","(23, 78, 46)","(12, 35, 101)"
7003_10,shadow_45,"(101, 97, 85)","(86, 41, 39)","(30, 46, 36)","(27, 30, 50)"
7002_10,shadow_9,"(99, 99, 95)","(84, 53, 54)","(51, 64, 58)","(49, 56, 75)"
1008_6a,noise_43,"(164, 135, 134)","(179, 127, 125)","(84, 118, 103)","(81, 95, 135)"
4005_7A,noise_16,"(205, 209, 208)","(165, 30, 27)","(32, 114, 58)","(7, 37, 133)"
8002_12B,hue_38,"(159, 136, 139)","(106, 21, 58)","(20, 56, 26)","(6, 43, 77)"
2002_6B,hue_56,"(181, 124, 103)","(137, 24, 29)","(16, 66, 29)","(12, 35, 84)"
8002_9B,motion_blur_58,"(210, 174, 153)","(138, 25, 24)","(18, 71, 37)","(9, 29, 84)"
1008_5C,gamma_3,"(158, 85, 75)","(172, 16, 27)","(7, 80, 35)","(15, 26, 68)"
7001_21,gaussian_blur_32,"(190, 175, 154)","(126, 23, 26)","(11, 51, 37)","(4, 19, 53)"
2002_6C,rotate_44,"(169, 137, 140)","(122, 19, 30)","(24, 72, 50)","(2, 19, 88)"
2001_5c,shadow_18,"(98, 77, 75)","(92, 61, 66)","(61, 72, 71)","(68, 71, 88)"
1004_4b,rotate_44,"(149, 132, 150)","(148, 72, 82)","(66, 100, 93)","(67, 80, 127)"
8002_12B,brightness_55,"(148, 115, 84)","(83, 0, 0)","(0, 19, 0)","(0, 0, 33)"
2001_6B,rotate_53,"(189, 145, 132)","(129, 22, 23)","(15, 72, 40)","(5, 31, 96)"
8002_10A,hue_29,"(190, 180, 176)","(135, 50, 55)","(27, 52, 39)","(27, 27, 51)"
2002_4B,shadow_27,"(107, 91, 86)","(48, 8, 8)","(35, 54, 46)","(32, 38, 61)"
1008_6a,gamma_30,"(157, 121, 121)","(176, 111, 109)","(68, 97, 85)","(62, 72, 108)"
7002_10,shadow_18,"(125, 123, 111)","(86, 38, 35)","(35, 58, 43)","(5, 14, 42)"
2001_3C,gaussian_blur_5,"(189, 96, 81)","(167, 19, 29)","(4, 85, 39)","(19, 32, 74)"
1001_4B,clahe_42,"(167, 146, 156)","(160, 47, 49)","(17, 54, 29)","(23, 25, 68)"
1008_6a,brightness_1,"(211, 170, 173)","(220, 147, 147)","(104, 135, 128)","(102, 115, 161)"
1011_motion,blur_4,"(133, 20, 20)","(188, 35, 32)","(35, 89, 55)","(16, 37, 101)"
P480_brightness,1,"(69, 121, 167)","(253, 88, 77)","(89, 151, 105)","(74, 97, 166)"
8002_12C,clahe_24,"(188, 139, 99)","(149, 39, 42)","(26, 75, 49)","(17, 32, 90)"
8002_9B,clahe_33,"(181, 153, 149)","(131, 40, 44)","(41, 82, 67)","(15, 33, 83)"
1004_4C,gamma_12,"(225, 210, 218)","(195, 97, 118)","(90, 144, 127)","(69, 90, 153)"
8007_3E,hue_11,"(194, 206, 201)","(137, 16, 53)","(18, 78, 21)","(1, 56, 97)"
1008_4a,brightness_28,"(150, 105, 105)","(76, 26, 34)","(56, 82, 69)","(37, 49, 85)"
2002_3c,rotate_8,"(167, 118, 120)","(148, 72, 84)","(63, 93, 93)","(68, 82, 126)"
2001_6C,noise_16,"(220, 194, 194)","(222, 144, 164)","(102, 153, 135)","(47, 67, 131)"
7003_10,brightness_10,"(195, 188, 162)","(144, 59, 56)","(54, 94, 69)","(43, 59, 109)"
2003_6C,brightness_55,"(254, 252, 224)","(199, 71, 72)","(60, 122, 86)","(51, 76, 142)"
8002_2B,brightness_1,"(255, 255, 255)","(249, 207, 245)","(162, 234, 235)","(119, 163, 251)"
8002_7c,hue_2,"(184, 120, 148)","(144, 50, 87)","(50, 87, 76)","(49, 78, 120)"
1008_6C,brightness_10,"(237, 196, 187)","(215, 63, 81)","(35, 87, 71)","(21, 31, 86)"
2001_6C,gaussian_blur_5,"(225, 209, 238)","(206, 94, 142)","(51, 155, 136)","(30, 77, 246)"
7002_17,brightness_1,"(234, 231, 222)","(181, 72, 73)","(63, 116, 92)","(57, 78, 148)"
1006_6a,hue_29,"(188, 178, 187)","(185, 124, 161)","(104, 133, 112)","(112, 148, 163)"
2002_6B,gamma_21,"(179, 128, 101)","(138, 30, 27)","(20, 71, 44)","(9, 28, 85)"
2001_4B,motion_blur_22,"(204, 169, 157)","(138, 31, 31)","(24, 70, 47)","(14, 29, 84)"
7001_19,gamma_30,"(173, 160, 143)","(137, 29, 35)","(13, 63, 52)","(6, 23, 66)"
8002_10A,motion_blur_4,"(202, 178, 179)","(204, 108, 133)","(35, 74, 66)","(18, 23, 57)"
8007-6G_noise,7,"(215, 214, 209)","(204, 41, 33)","(40, 126, 67)","(14, 47, 140)"
1001_4B,motion_blur_4,"(192, 185, 218)","(174, 73, 72)","(58, 107, 83)","(58, 79, 142)"
2002_4B,brightness_64,"(125, 91, 81)","(70, 0, 0)","(6, 23, 6)","(0, 0, 36)"
P350_gamma,3,"(194, 196, 133)","(169, 34, 31)","(30, 79, 45)","(19, 37, 89)"
2001_6B,gamma_3,"(179, 155, 168)","(159, 31, 41)","(14, 96, 62)","(3, 33, 129)"
1008_6a,motion_blur_4,"(166, 126, 128)","(175, 103, 105)","(62, 92, 85)","(60, 72, 117)"
8002_12B,clahe_6,"(183, 174, 175)","(181, 50, 67)","(19, 112, 82)","(6, 47, 152)"
7001_21,gamma_21,"(203, 201, 188)","(133, 26, 22)","(13, 52, 26)","(1, 13, 58)"
1008_4B,gamma_21,"(186, 131, 122)","(161, 45, 48)","(35, 65, 42)","(26, 28, 54)"
7002_17,clahe_15,"(226, 215, 194)","(130, 23, 17)","(28, 78, 46)","(19, 39, 104)"
1001_4B,shadow_27,"(88, 83, 87)","(80, 46, 44)","(41, 56, 46)","(38, 43, 60)"
7002_17,hue_38,"(203, 153, 153)","(165, 42, 115)","(34, 71, 20)","(0, 53, 67)"
2003_6C,noise_43,"(181, 162, 162)","(140, 24, 37)","(30, 94, 62)","(4, 29, 119)"
2001_4B,hue_65,"(210, 167, 159)","(143, 30, 20)","(16, 80, 50)","(0, 14, 97)"
8002_12B,gaussian_blur_50,"(190, 155, 129)","(128, 19, 23)","(14, 69, 38)","(4, 31, 93)"
8002_9c,shadow_36,"(126, 99, 90)","(130, 77, 73)","(48, 86, 68)","(44, 57, 89)"
